,Publication
2473,"Matar GM, Chahwan R, Fuleihan N, Uwaydah M, El-Hajj M, Hadi U. 2002. ""DNA-based subtypes and antimicrobial susceptibility profiles of Haemophilus influenzae and Haemophilus parainfluenzae isolated from different tonsillar sites of children undergoing tonsillectomy and/or adenoidectomy."" , Le Journal médical libanais. The Lebanese medical journal, vol.50, no.4, pp-157-62"
2474,"Matar GM, Abdo D, Khneisser I, Youssef M, Zouheiry H, Abdelnour G, Harakeh HS. 2002. ""The multiplex-PCR-based detection and genotyping of diarrhoeagenic Escherichia coli in diarrhoeal stools."" , Annals of tropical medicine and parasitology, vol.96, no.3, pp-317-24"
2475,"Matar GM, Hadi U. 2002. ""Molecular Characteristics of Pseudomonas aeruginosa Obtained from Patients With Unilateral or Bilateral Otitis Externa"" , Recent Res. Devel. Microbiol, vol.6, pp-115-124"
2476,"Matar GM, F. Ramlawi, H. S. Harakeh, Hadi U. 2002. ""Comparative Analysis Between Virulence Factors Produced By Various Pseudomonas aeruginosa Genotypes and Severity of Symptoms in Patients with Otitis Externa"" , Br. Med. J, vol.9, no.89, pp-7-9"
2477,"Kalfayan LH, Farhat D, El-Nakat H, Matar GM, Abdelnoor AM. 2001. ""Immunization of mice against Salmonella typhimurium using different DNA preparations."" , Immunopharmacology and immunotoxicology, vol.23, no.4, pp-519-30"
2478,"Matar GM, Harakeh HS, Ramlawi F, Khneisser I, Hadi U. 2001. ""Comparative analysis between Pseudomonas aeruginosa genotypes and severity of symptoms in patients with unilateral or bilateral otitis externa."" , Current microbiology, vol.42, no.3, pp-190-3"
2479,"Matar GM, Chahwan R, Fuleihan N, Uwaydah M, Hadi U. 2001. ""PCR-based detection, restriction endonuclease analysis, and transcription of tonB in Haemophilus influenzae and Haemophilus parainfluenzae isolates obtained from children undergoing tonsillectomy and adenoidectomy."" , Clinical and diagnostic laboratory immunology, vol.8, no.2, pp-221-4"
2480,"Matar GM, Hadi U. 2001. ""Molecular Characteristics of Haemophilus Species in Head and Neck Infections"" , Res. Adv. in Microbiol, vol.2, pp-7-16"
2481,"Matar GM, N. Sidani, M. Fayad, Hadi U. 2001. ""Random Amplified.Polymorphic DNA Subtyping of Haemophilus influenzae from Middle Ear Effusion Fluid of Lebanese Patients with Otitis Media with Effusion"" , EJM, vol.6, no.1, pp-11-13"
2482,"Hadi U, Matar GM. 2000. ""Bacterial etiology of otitis media with effusion in a group of Lebanese children."" , Le Journal médical libanais. The Lebanese medical journal, vol.48, no.3, pp-143-6"
2483,"Matar GM, N. El-Haddad, M. Uwaydah. 2000. ""PCR-RFLP Analysis of TEM Beta-lactamase Gene In Gram-negative Bacteria With Unusual Susceptibility to beta-lactam Antibiotics"" , Br. Med. J. , vol.7, pp-6-12"
2484,"W. A. Aboul-Khoudoud, M. Fayad, R. Choueir, M. Mikati, Abdelnoor AM, Matar GM, Matar GM. 2000. ""Herpes simplex encephalitis cases with typical and atypical symptoms confirmed by PCR- amplification of the DNA polymerase genes"" , Eastern Journal of Medicine, vol.5, no.2, pp-70-72"
2485,"Abdelnoor AM, Gh. Khaled, M. Naboulsi-Khalil, F. Ramadan, Matar GM. 2000. ""Evaluation of serological test for the diagnosis of tuberculosis using the 38 Kda antigen"" , Eastern Journal of Medicine, vol.5, no.1, pp-10-12"
2486,"H. S. Harakeh, M. Rizk, M. Uwaydah, Matar GM. 2000. ""Random Amplified Polymorphic DNA Typing of Enterococcus faecalis"" , EJM, vol.5, no.1, pp-16-18"
2487,"Hadi U, S. Serhal, S. Ghosseini, H. Harakeh, Matar GM. 2000. ""Bacterial Etiology of Otitis Externa in a Group of Lebanese Patients"" , Br. Med. J, vol.7, pp-6-7"
2488,"Matar GM, Koehler JE, Malcolm G, Lambert-Fair MA, Tappero J, Hunter SB, Swaminathan B. 1999. ""Identification of Bartonella species directly in clinical specimens by PCR-restriction fragment length polymorphism analysis of a 16S rRNA gene fragment."" , Journal of clinical microbiology, vol.37, no.12, pp-4045-7"
2489,"Abdelnoor AM, Gh. Khaled, F. Ramadan, M. Naboulsi-Khalil, Matar GM. 1999. ""Assessment of some serum humoral factors in patients with pulmonary tuberculosis"" , Journ. Immunol. Immunopharm, vol.19, no.2, pp-39-42"
2490,"Matar GM, N. B. El-Ghossein, M. Uwaydah. 1999. ""Relative Occurrence of an Insertion Like Sequence, in the promotor Region of Bla-TEM Gene of Beta-Lactam Resistant Gram-Negative Organisms"" , Revue Medicale Libanaise, vol.11, pp-10-11"
2491,"H. Harakeh, Abdelnoor AM, Matar GM. 1999. ""Random amplified polymorphic DNA typing of S.sanguis isolated from human oral cavity and dental caries"" , The Global Dental News Journal, vol.51, pp-9-13"
2492,"Pieniazek D, Baggs J, Hu DJ, Matar GM, Abdelnoor AM, Mokhbat JE, Uwaydah M, Bizri AR, Ramos A, Janini LM, Tanuri A, Fridlund C, Schable C, Heyndrickx L, Rayfield MA, Heneine W. 1998. ""Introduction of HIV-2 and multiple HIV-1 subtypes to Lebanon."" , Emerging infectious diseases, vol.4, no.4, pp-649-56"
2493,"Matar GM, Sidani N, Fayad M, Hadi U. 1998. ""Two-step PCR-based assay for identification of bacterial etiology of otitis media with effusion in infected Lebanese children."" , Journal of clinical microbiology, vol.36, no.5, pp-1185-8"
2494,"Aboul-Khoudoud W., Fayad M., Mikati M., Abdelnoor AM, Matar GM. 1998. ""Two step PCR for the identification of bacterial meningitis in CSF of infected patients."" , ASM , vol.98, pp-150"
2495,"Jaalouk D.E., Uwaydah M., Matar GM. 1997. ""PCR detection of methicillin resistance determinant (mecA, mecI-mecR1) genes in clinical isolates of staphylococci"" , Revue Medicale Libanaise, vol.9, no.3, pp-145-148"
2496,"Abdelnour GE, Matar GM, Sharara HM, Abdelnoor AM. 1997. ""Detection of anti-hepatitis C-virus antibodies and hepatitis C-virus RNA in Lebanese hemodialysis patients."" , European journal of epidemiology, vol.13, no.8, pp-863-7"
2497,"Matar G.M., Hayes P.S., Bibb W.F., Swaminathan B. 1997. ""Listeriolysin O-based latex agglutination test for the rapid detection of Listeria monocytogenes in foods"" , Journal of Food Protection, vol.60, no.9, pp-1038-1040"
2498,"R. R. Malak, Matar GM, Abdelnoor AM. 1997. ""SDS-PAGE of Mononuclear Cell Protein Lysates of HLA-Identical Individuals"" , Dirasat, vol.24, pp-105-111"
2499,"Matar GM, Sharara HM, Abdelnour GE, Abdelnoor AM. 1996. ""Genotyping of hepatitis C virus isolates from Lebanese hemodialysis patients by reverse transcription-PCR and restriction fragment length polymorphism analysis of 5\' noncoding region."" , Journal of clinical microbiology, vol.34, no.10, pp-2623-4"
2500,"Matar GM, Slieman TA, Nabbut NH. 1996. ""Subtyping of Bacillus cereus by total cell protein patterns and arbitrary primer polymerase chain reaction."" , European journal of epidemiology, vol.12, no.3, pp-309-14"
2501,"Kordick DL, Swaminathan B, Greene CE, Wilson KH, Whitney AM, O\'Connor S, Hollis DG, Matar GM, Steigerwalt AG, Malcolm GB, Hayes PS, Hadfield TL, Breitschwerdt EB, Brenner DJ. 1996. ""Bartonella vinsonii subsp. berkhoffii subsp. nov., isolated from dogs; Bartonella vinsonii subsp. vinsonii; and emended description of Bartonella vinsonii."" , International journal of systematic bacteriology, vol.46, no.3, pp-704-9"
2502,"Swaminathan B, Matar GM, Reeves MW, Graves LM, Ajello G, Bibb WF, Helsel LO, Morales M, Dronavalli H, el-Swify M, DeWitt W, Hunter SB. 1996. ""Molecular subtyping of Neisseria meningitidis serogroup B: comparison of five methods."" , Journal of clinical microbiology, vol.34, no.6, pp-1468-73"
2503,"Matar GM, Khneisser IA, Abdelnoor AM. 1996. ""Rapid laboratory confirmation of human brucellosis by PCR analysis of a target sequence on the 31-kilodalton Brucella antigen DNA."" , Journal of clinical microbiology, vol.34, no.2, pp-477-8"
2504,"R.A. Traboulsi, Abdelnoor AM, M. Oseiran, Matar GM. 1996. ""Serosurvery of HTLV- I/II in a Selected Population in Lebanon"" , Revue Medicale Libanaise, vol.8, pp-23-24"
2505,"Ajello GW, Matar GM, Swaminathan B, Bibb WF, Helsel LO, Perkins BA. 1995. ""A rapid dot immunoassay for detecting the Brazilian purpuric fever clone of Haemophilus influenzae biogroup aegyptius with a ""flow through"" device."" , Current microbiology, vol.30, no.6, pp-345-9"
2506,"Spach DH, Kanter AS, Dougherty MJ, Larson AM, Coyle MB, Brenner DJ, Swaminathan B, Matar GM, Welch DF, Root RK. 1995. ""Bartonella (Rochalimaea) quintana bacteremia in inner-city patients with chronic alcoholism."" , The New England journal of medicine, vol.332, no.7, pp-424-8"
2507,"Matar GM, M. M. Uwaydah. 1995. ""Characteristics of Nosocomial versus Outpatient Isolates of Coagulase-negative Staphylococci at a Medical center in Beirut, Lebanon"" , Leb. Sc. Bull, vol.8, pp-63-75"
2508,"Matar GM. 1995. ""Inter- and intraspecies identification of Bartonella species by PCR-restriction fragment length polymorphism analysis of a fragment of the ribosomal operon."" , Journal of clinical microbiology, vol.33, no.12, pp-3370"
2509,"Larson AM, Dougherty MJ, Nowowiejski DJ, Welch DF, Matar GM, Swaminathan B, Coyle MB. 1994. ""Detection of Bartonella (Rochalimaea) quintana by routine acridine orange staining of broth blood cultures."" , Journal of clinical microbiology, vol.32, no.6, pp-1492-6"
2510,"Matar GM, Swaminathan B, Hunter SB, Slater LN, Welch DF. 1993. ""Polymerase chain reaction-based restriction fragment length polymorphism analysis of a fragment of the ribosomal operon from Rochalimaea species for subtyping."" , Journal of clinical microbiology, vol.31, no.7, pp-1730-4"
2511,"Matar GM, Bibb WF, Helsel L, Dewitt W, Swaminathan B. 1992. ""Immunoaffinity purification, stabilization and comparative characterization of listeriolysin O from Listeria monocytogenes serotypes 1/2a and 4b."" , Research in microbiology, vol.143, no.5, pp-489-98"
2512,"Tondella ML, Matar GM, Perkins BA, Swaminathan B. 1992. ""PCR for confirmation of Brazilian purpuric fever."" , Lancet, vol.339, no.8798, pp-936-7"
2513,"Matar GM, Gay E, Cooksey RC, Elliott JA, Heneine WM, Uwaydah MM, Matossian RM, Tenover FC. 1992. ""Identification of an epidemic strain of Acinetobacter baumannii using electrophoretic typing methods."" , European journal of epidemiology, vol.8, no.1, pp-9-14"
2514,"Heneine W, Matar G, Reeves M, Swaminathan B. 1991. ""Molecular characterization of Salmonella typhi isolates from patients with severe and mild typhoid fever."" , European journal of epidemiology, vol.7, no.2, pp-192-3"
2515,"Matar GM, R. M. Matossian. 1989. ""Effect of P. aeruginosa Lipopolysaccharide and High Molecular Weight Polysaccharide on Immunoglobulin Secreting Cells"" , Leb. Sc. Bull, vol.5, pp-51-57"
2516,"Matar GM, R. M. Matossian. 1988. ""Effect of P. aeruginosa extracts on Human Lymphocyte Proliferations"" , Leb. Sc. Bull, vol.4, pp-53-63"
2517,"Matar GM, N. Bedrossian, R. M. Matossian. 1985. ""Nature and scope of P. aeruginosa in a major medical center in Lebanon"" , Leb. Sc. Bull, vol.1, pp-231-238"
2518,"B. Swaminathan, Matar G. ""Diagnostic Molecular Microbiology Principles and Application"" , 1993"
2519,"Matar, GM., et al. 2008. ""Detection of plasmid-encoded bla-CTX-M-15 and bla-TEM-1 genes in a Lebanese Salmonella isolate that produces extended-spectrum beta-lactamase."" , Annals of tropical medicine and parasitology"
2520,"Rizk, EB., et al. 2005. ""Facial nerve palsy with acute otitis media during the first 2 weeks of life."" , Journal of child neurology"
2521,"Tondella, ML., et al. 1992. ""PCR for confirmation of Brazilian purpuric fever."" , Lancet'"
2522,"Yazbek-Karam VG, Haswani RW, Karam HS, Haddad WM, Youssef PS, Hachem BF, Atik FT, Rassi SJ, Yammine JN, Baraka AS, Aouad MT. 2009. ""Unusual case of difficult double-lumen endotracheal tube removal."" , Journal of clinical anesthesia, vol.21, no.7, pp-514-6"
2523,"Siddik-Sayyid SM, Nasr VG, Taha SK, Zbeide RA, Shehade JM, Al Alami AA, Mokadem FH, Abdallah FW, Baraka AS, Aouad MT. 2009. ""A randomized trial comparing colloid preload to coload during spinal anesthesia for elective cesarean delivery."" , Anesthesia and analgesia, vol.109, no.4, pp-1219-24"
2524,"Siddik-Sayyid SM, Taha SK, Kanazi GE, Chehade JM, Zbeidy RA, Al Alami AA, Zahreddine BW, Khatib MF, Baraka AS, Aouad MT. 2009. ""Excellent intubating conditions with remifentanil-propofol and either low-dose rocuronium or succinylcholine."" , Canadian journal of anaesthesia = Journal canadien d\'anesthésie, vol.56, no.7, pp-483-8"
2525,"Siddik-Sayyid SM, Baraka AS, Mokadem FH, Aouad MT. 2009. ""Failure of endtidal carbon dioxide to confirm tracheal intubation in a neonate with a single ventricle and severe pulmonary stenosis."" , Middle East journal of anesthesiology, vol.20, no.2, pp-289-90"
2526,"Aouad MT, Al-Alami AA, Nasr VG, Souki FG, Zbeidy RA, Siddik-Sayyid SM. 2009. ""The effect of low-dose remifentanil on responses to the endotracheal tube during emergence from general anesthesia."" , Anesthesia and analgesia, vol.108, no.4, pp-1157-60"
2527,"Yazbek-Karam VG, Haswani RW, Mousallem NM, Abou Jaoude E, Nassar NE, Hirbli KE, El Khoury JM, Tarcha WS, Baraka AS, Aouad MT. 2009. ""Severe intra-operative carcinoid crisis in a patient having carcinoid heart disease."" , Acta anaesthesiologica Scandinavica, vol.53, no.3, pp-414-5"
2528,"Aouad MT, Moukaddem FH, Akel SR, Kanazi GE. 2009. ""Be vigilant, always!"" , Paediatric anaesthesia, vol.19, no.1, pp-71-2"
2529,"Siddik-sayyid S, Aouad M. 2009. ""Reply to “Intubation using lidocaine, low-dose rocuronium, remifentanil and propofol. What should we know?"" , Canadian Journal of Anesthesia"
2530,"Siddik-Sayyid SM, Taha SK, Azar MS, Hakki MA, Yaman RA, Baraka AS, Aouad MT. 2008. ""Comparison of three doses of epidural fentanyl followed by bupivacaine and fentanyl for labor analgesia."" , Acta anaesthesiologica Scandinavica, vol.52, no.9, pp-1285-90"
2531,"Aouad MT, Moukaddem FH, Akel SR, Kanazi GE. 2008. ""Respiratory failure in a former preterm infant following high spinal anesthesia with bupivacaine and clonidine."" , Paediatric anaesthesia, vol.18, no.10, pp-1000-1"
2532,"Aouad MT, Moussa AR, Dagher CM, Muwakkit SA, Jabbour-Khoury SI, Zbeidy RA, Abboud MR, Kanazi GE. 2008. ""Addition of ketamine to propofol for initiation of procedural anesthesia in children reduces propofol consumption and preserves hemodynamic stability."" , Acta anaesthesiologica Scandinavica, vol.52, no.4, pp-561-5"
2533,"Aouad MT, Siddik-Sayyid SM, Al-Alami AA, Baraka AS. 2007. ""Multimodal analgesia to prevent propofol-induced pain: pretreatment with remifentanil and lidocaine versus remifentanil or lidocaine alone."" , Anesthesia and analgesia, vol.104, no.6, pp-1540-4, table of contents"
2534,"Siddik-Sayyid SM, Aouad MT, Taha SK, Azar MS, Hakki MA, Kaddoum RN, Nasr VG, Yazbek VG, Baraka AS. 2007. ""Does ondansetron or granisetron prevent subarachnoid morphine-induced pruritus after cesarean delivery?"" , Anesthesia and analgesia, vol.104, no.2, pp-421-4"
2535,"Aouad MT, Siddik-Sayyid SM, Taha SK, Azar MS, Nasr VG, Hakki MA, Zoorob DG, Baraka AS. 2007. ""Haloperidol vs. ondansetron for the prevention of postoperative nausea and vomiting following gynaecological surgery."" , European journal of anaesthesiology, vol.24, no.2, pp-171-8"
2536,"Siddik-Sayyid SM, Taha SK, Aouad MT, Daaboul DG, Deeb PG, El Khatib MF, Baraka AS. 2006. ""The effect of injection of two vs 10 mL saline on the subsequent spread and quality of epidural analgesia in parturients."" , Journal of clinical anesthesia, vol.18, no.8, pp-575-9"
2537,"Yazbek-Karam VG, Aouad MM. 2006. ""Perioperative uses of dexmedetomidine."" , Middle East journal of anesthesiology, vol.18, no.6, pp-1043-58"
2538,"Yazbeck-Karam VG, Aouad MT, Bleik JH, Baraka AS. 2006. ""Propofol-remifentanil-based anaesthesia vs. sevoflurane-fentanyl-based anaesthesia for immediate postoperative ophthalmic evaluation following strabismus surgery."" , European journal of anaesthesiology, vol.23, no.9, pp-743-7"
2539,"Kanazi GE, Aouad MT, Jabbour-Khoury SI, Al Jazzar MD, Alameddine MM, Al-Yaman R, Bulbul M, Baraka AS. 2006. ""Effect of low-dose dexmedetomidine or clonidine on the characteristics of bupivacaine spinal block."" , Acta anaesthesiologica Scandinavica, vol.50, no.2, pp-222-7"
2540,"Aouad M. 2006. ""In reply to pain and emergence agitation in children"" , Acta Anaesthesiologica Scandinavica"
2541,"Aouad MT, Nasr VG. 2005. ""Emergence agitation in children: an update."" , Current opinion in anaesthesiology, vol.18, no.6, pp-614-9"
2542,"Aouad MT, Gerges FJ, Baraka AS. 2005. ""Resistance to cisatracurium in a patient with MELAS syndrome."" , Paediatric anaesthesia, vol.15, no.12, pp-1124-7"
2543,"Aouad MT, Hajj RE. 2005. ""Supplementation of intrathecal bupivacaine with clonidine in ex-premature neonates."" , Anesthesia and analgesia, vol.101, no.5, pp-1562-3; author reply 1563"
2544,"Baraka A, El-Khatib M, Muallem E, Jamal S, Haroun-Bizri S, Aouad M. 2005. ""Oxygenator exhaust capnography for prediction of arterial carbon dioxide tension during hypothermic cardiopulmonary bypass."" , The Journal of extra-corporeal technology, vol.37, no.2, pp-192-5"
2545,"Siddik-Sayyid SM, Aouad MT, Taha SK, Daaboul DG, Deeb PG, Massouh FM, Muallem MR, Baraka AS. 2005. ""A comparison of sevoflurane-propofol versus sevoflurane or propofol for laryngeal mask airway insertion in adults."" , Anesthesia and analgesia, vol.100, no.4, pp-1204-9"
2546,"Aouad MT, Kanazi GE, Siddik-Sayyid SM, Gerges FJ, Rizk LB, Baraka AS. 2005. ""Preoperative caudal block prevents emergence agitation in children following sevoflurane anesthesia."" , Acta anaesthesiologica Scandinavica, vol.49, no.3, pp-300-4"
2547,"Siddik-Sayyid SM, Aouad MT, Jalbout MI, Zalaket MI, Mouallem MR, Massouh FM, Rizk LB, Maarouf HH, Baraka AS. 2005. ""Comparison of three modes of patient-controlled epidural analgesia during labour."" , European journal of anaesthesiology, vol.22, no.1, pp-30-4"
2548,"Baraka AS, Aouad MT, Jalbout MI, Kaddoum RN, Khatib MF, Haroun-Bizri ST. 2004. ""End-tidal CO2 for prediction of cardiac output following weaning from cardiopulmonary bypass."" , The Journal of extra-corporeal technology, vol.36, no.3, pp-255-7"
2549,"Aouad MT. 2004. ""Perioperative management of the patient undergoing vascular surgery."" , Middle East journal of anesthesiology, vol.17, no.4, pp-665-89"
2550,"Yazbeck-Karam VG, Aouad MT, Kaddoum RN, Baraka AS. 2004. ""Methemoglobinemia after a blast injury."" , Anesthesiology, vol.100, no.2, pp-448-9"
2551,"Yazbeck-Karam VG, Aouad MT, Baraka AS. 2003. ""Laryngeal mask airway for ventilation during diagnostic and interventional fibreoptic bronchoscopy in children."" , Paediatric anaesthesia, vol.13, no.8, pp-691-4"
2552,"Aouad MT, Maalouli JM, Deeb PG, Baraka AS. 2003. ""Continuous paraverte bral block for the management of post-thoracotomy pain in a patient undergoing tracheal reconstruction."" , Middle East journal of anesthesiology, vol.17, no.3, pp-449-54"
2553,"Aouad MT, Sayyid SS, Zalaket MI, Baraka AS. 2003. ""Intravenous lidocaine as adjuvant to sevoflurane anesthesia for endotracheal intubation in children."" , Anesthesia and analgesia, vol.96, no.5, pp-1325-7, table of contents"
2554,"Siddik-Sayyid SM, Aouad MT, Jalbout MI, Zalaket MI, Berzina CE, Baraka AS. 2002. ""Intrathecal versus intravenous fentanyl for supplementation of subarachnoid block during cesarean delivery."" , Anesthesia and analgesia, vol.95, no.1, pp-209-13, table of contents"
2555,"Baraka A, Aouad M, Maalouli J, el-Khatib M, Akhrass P, Khalil I, Ayoub C. 2002. ""BIPAP for management of hypoxemia associated with unilateral phrenic nerve palsy following surgery for thoracic outlet syndrome."" , Middle East journal of anesthesiology, vol.16, no.5, pp-535-42"
2556,"Yazbeck-Karam VG, Aouad MT, Baraka AS. 2001. ""Recurrent episodes of Horner\'s syndrome following epidural anesthesia in the obstetrical patients."" , Middle East journal of anesthesiology, vol.16, no.3, pp-257-63"
2557,"Siddik SM, Aouad MT, Jalbout MI, Rizk LB, Kamar GH, Baraka AS. 2001. ""Diclofenac and/or propacetamol for postoperative pain management after cesarean delivery in patients receiving patient controlled analgesia morphine."" , Regional anesthesia and pain medicine, vol.26, no.4, pp-310-5"
2558,"Aouad MT, Siddik SS, Rizk LB, Zaytoun GM, Baraka AS. 2001. ""The effect of dexamethasone on postoperative vomiting after tonsillectomy."" , Anesthesia and analgesia, vol.92, no.3, pp-636-40"
2559,"Aouad MT, Siddik SS, Jalbout MI, Baraka AS. 2001. ""Does pregnancy protect against intrathecal lidocaine-induced transient neurologic symptoms?"" , Anesthesia and analgesia, vol.92, no.2, pp-401-4"
2560,"Siddik SM, Aouad MT, Kai GE, Sfeir MM, Baraka AS. 2000. ""Hydroxyethylstarch 10% is superior to Ringer\'s solution for preloading before spinal anesthesia for Cesarean section."" , Canadian journal of anaesthesia = Journal canadien d\'anesthésie, vol.47, no.7, pp-616-21"
2561,"Aouad MT, Berzina CE, Baraka AS. 2000. ""Aspiration pneumonia after anesthesia in a patient with a Zenker diverticulum."" , Anesthesiology, vol.92, no.6, pp-1837-9"
2562,"Baraka A, Lteif A, Nawfal M, Taha S, Maroun M, Khoury S, Jalbout M. 2000. ""Ambient pressure oxygenation via the nonventilated lung during video-assisted thoracoscopy."" , Anaesthesia, vol.55, no.6, pp-602-3"
2563,"Baraka A, Aouad M, Taha S, El-Khatib M, Kawkabani N, Soueidi A. 2000. ""Apnea-induced hemoglobin desaturation during one-lung vs two-lung ventilation."" , Canadian journal of anaesthesia = Journal canadien d\'anesthésie, vol.47, no.1, pp-58-61"
2564,"Aouad MT, Baraka AS. 1999. ""Haemostasis-altering drugs and central neuraxial block."" , Middle East journal of anesthesiology, vol.15, no.3, pp-217-45"
2565,"Baraka AS, Taha SK, Aouad MT, El-Khatib MF, Kawkabani NI. 1999. ""Preoxygenation: comparison of maximal breathing and tidal volume breathing techniques."" , Anesthesiology, vol.91, no.3, pp-612-6"
2566,"Siddik-Sayyid S, Aouad-Maroun M, Sleiman D, Sfeir M, Baraka A. 1999. ""Epidural tramadol for postoperative pain after Cesarean section."" , Canadian journal of anaesthesia = Journal canadien d\'anesthésie, vol.46, no.8, pp-731-5"
2567,"Dabbous A, Itani M, Kawas N, Karam V, Aouad M, Baraka A, Khoury SJ, Khoury G. 1998. ""Post-laparoscopic vomiting in females versus males: comparison of prophylactic antiemetic action of ondansetron versus metoclopramide."" , JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons, vol.2, no.3, pp-273-6"
2568,"Baraka A, Aouad M. 1997. ""Is propofol anticonvulsant or proconvulsant?"" , Canadian journal of anaesthesia = Journal canadien d\'anesthésie, vol.44, no.9, pp-1027"
2569,"Aouad M, Ashkar K. 1997. ""Pulmonary edema following post operative laryngospasm."" , Middle East journal of anesthesiology, vol.14, no.1, pp-59-63"
2570,"Baraka AS, Taha SK, Yazbeck VK, Rizkallah PA, Zughbi JP, Aouad MJ, Rouhana CS, Nader AM. 1995. ""Transient atrioventricular block after release of aortic cross-clamp."" , Anesthesia and analgesia, vol.80, no.1, pp-54-7"
2571,"Baraka A, Jabbour S, Hammoud R, Aouad M, Najjar F, Khoury G, Sibai A. 1994. ""Can pulse oximetry and end-tidal capnography reflect arterial oxygenation and carbon dioxide elimination during laparoscopic cholecystectomy?"" , Surgical laparoscopy & endoscopy, vol.4, no.5, pp-353-6"
2572,"Baraka A, Jabbour S, Hammoud R, Aouad M, Najjar F, Khoury G, Sibai A. 1994. ""End-tidal carbon dioxide tension during laparoscopic cholecystectomy. Correlation with the baseline value prior to carbon dioxide insufflation."" , Anaesthesia, vol.49, no.4, pp-304-6"
2573,"70. Boucher G, Chambrier C, Paturel B, Maroun M, Garrigue C, Bouletreau P. 1991. ""Standardization of fluids and electrolytes in the postoperative period following gastrointestinal surgery"" , Lyon chirurgical"
2574,"Marie T. Aouad, et al. ""Ultrasound-Guided vs. Landmark Technique for Femoral Vein Cannulation in Children "" , Annual meeting American Society of Anesthesiology, USA, 2009"
2575,"Marie T Aouad, et al. ""Methylprednisolone vs. dexamethasone for the prophylaxis of posttonsillectomy vomiting in children "" , Annual meeting American Society of Anesthesiology, USA, 2009"
2576,"Marie T. Aouad, and Sahar M.Siddik-Sayyid. ""Diphenhydramine versus Ondansetron for the Treatment of Subarachnoid Morphine-Induced Pruritus "" , 6th International meeting pain management and regional anesthesia, Havana, Cuba, 2008"
2577,"Yazbeck-Karam V, et al. ""Effect of addition of clonidine to local anesthetic mixture for peribulbar block in vitreoretinal surgery "" , XXVI European Society of Regional Anesthesia Annual Congress, Valencia, Spain, 2007"
2578,"Yazbek-Karam V, et al. ""Dexmedetomidine versus propofol for intraoperative sedation in vitreoretinal surgery "" , World Congress of Ophtalmic Anaesthesia, 2004"
2579,"Yazbeck-Karam V, Bleik J, and Aouad M. ""Total intravenous anaesthesia with propofol-remifentanil versus sevoflurane-fentanyl for the immediate postoperative measurements in adjustable muscle surgery"" , World Congress of Ophtalmic Anaesthesia, London, UK, 2004"
2580,"Chambrier C, et al. ""Influence of Ibuprofen pretreatment on the surgical stress response "" , 3rd open European meeting of Anesthesiology, Paris, France, 1991"
2581,"Maroun M, et al. ""Dilutional hyponatremia associated with glycine irrigation in intrauterine endoscopic surgery"" , 32nd congress of “Societe Francaise d’Anesthesie Reanimation, Paris, France, 1990"
2582,"Maroun M, et al. ""Dilutional hyponatremia associated with glycine irrigation in intrauterine endoscopic surgery"" , 85th annual meeting of the American Society of Anesthesiology , 1990"
2583,"Aouad, MT., Gerges, FJ., and Baraka, AS. 2005. ""Resistance to cisatracurium in a patient with MELAS syndrome."" , Paediatric anaesthesia"
2584,"Baraka, A. and Aouad, M. 1997. ""Is propofol anticonvulsant or proconvulsant?"" , Canadian journal of anaesthesia = Journal canadien d\'anesthésie"
2585,"Yazbek-Karam, VG., et al. 2009. ""Unusual case of difficult double-lumen endotracheal tube removal."" , Journal of clinical anesthesia"
2586,"Aouad, MT., et al. 2008. ""Respiratory failure in a former preterm infant following high spinal anesthesia with bupivacaine and clonidine."" , Paediatric anaesthesia"
2587,"Aouad, MT., et al. 2003. ""Continuous paraverte bral block for the management of post-thoracotomy pain in a patient undergoing tracheal reconstruction."" , Middle East journal of anesthesiology"
2588,"Yazbeck-Karam, VG., Aouad, MT., and Baraka, AS. 2001. ""Recurrent episodes of Horner\'s syndrome following epidural anesthesia in the obstetrical patients."" , Middle East journal of anesthesiology"
2589,"Aouad, MT., Berzina, CE., and Baraka, AS. 2000. ""Aspiration pneumonia after anesthesia in a patient with a Zenker diverticulum."" , Anesthesiology"
2590,"Siddik-Sayyid, SM., et al. 2009. ""Failure of endtidal carbon dioxide to confirm tracheal intubation in a neonate with a single ventricle and severe pulmonary stenosis."" , Middle East journal of anesthesiology"
2591,"Baraka, A., et al. 2002. ""BIPAP for management of hypoxemia associated with unilateral phrenic nerve palsy following surgery for thoracic outlet syndrome."" , Middle East journal of anesthesiology"
2592,"Yazbek-Karam, VG., et al. 2009. ""Severe intra-operative carcinoid crisis in a patient having carcinoid heart disease."" , Acta anaesthesiologica Scandinavica"
2593,"Yazbeck-Karam, VG., et al. 2004. ""Methemoglobinemia after a blast injury."" , Anesthesiology"
2594,"Aouad, M. and Ashkar, K. 1997. ""Pulmonary edema following post operative laryngospasm."" , Middle East journal of anesthesiology"
2595,"Marie T. Aouad, et al. 2009. ""Ultrasound-Guided vs. Landmark Technique for Femoral Vein Cannulation in Children "" , Annual meeting American Society of Anesthesiology"
2596,"Marie T Aouad, et al. 2009. ""Methylprednisolone vs. dexamethasone for the prophylaxis of posttonsillectomy vomiting in children "" , Annual meeting American Society of Anesthesiology"
